
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. top, 310, 332, 27, 0, 0, 64, 0, 12, 67
.	. Webserver_TCP_sb, 310, 332, 27, 0, 0, 64, 0, 9, 55
.	.	. CoreAHBLite_Z4, 49, 146, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MATRIX4X16_2_1_0_1_0_0_0_0s, 49, 146, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_MASTERSTAGE_2_1_0_1_0s_0_1_0, 43, 85, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1_0, 1, 3, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 6, 61, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_0, 5, 26, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreConfigP_Z5, 110, 77, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP_Z6, 90, 33, 27, 0, 0, 0, 0, 5, 0
.	.	. Webserver_TCP_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. Webserver_TCP_sb_COREAHBLSRAM_0_0_COREAHBLSRAM_19s_32s_32s_32768s_512s_0s, 61, 75, 0, 0, 0, 64, 0, 0, 0
.	.	.	. AHBLSramIf, 23, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	. Webserver_TCP_sb_COREAHBLSRAM_0_0_SramCtrlIf_0s_32768s_512s_32s_0_1_2, 38, 61, 0, 0, 0, 64, 0, 0, 0
.	.	.	.	. Webserver_TCP_sb_COREAHBLSRAM_0_0_lsram_2048to139264x8_32768s_8s, 1, 14, 0, 0, 0, 16, 0, 0, 0
.	.	.	.	. Webserver_TCP_sb_COREAHBLSRAM_0_0_lsram_2048to139264x8_32768s_8s_0, 0, 12, 0, 0, 0, 16, 0, 0, 0
.	.	.	.	. Webserver_TCP_sb_COREAHBLSRAM_0_0_lsram_2048to139264x8_32768s_8s_1, 0, 12, 0, 0, 0, 16, 0, 0, 0
.	.	.	.	. Webserver_TCP_sb_COREAHBLSRAM_0_0_lsram_2048to139264x8_32768s_8s_2, 0, 12, 0, 0, 0, 16, 0, 0, 0
.	.	. Webserver_TCP_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. Webserver_TCP_sb_MSS, 0, 1, 0, 0, 0, 0, 0, 2, 55
.	. top_FCCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	. top_FCCC_1_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. top_SERDES_IF_0_SERDES_IF, 0, 0, 0, 0, 0, 0, 0, 0, 1
